创建了新的github文件
再次创建
NO. 	X(m) 	Y(m) 	Z(m) 	T(ms) 	Voltage(nv/(Am^2)) 	Distance(m) 	Resistivity(ohm.m) 	Depth(m)
0 	0.0 	0.0 	0.0 	7.50000E-03 	3.50171E07 	0.0000 	0.0210 	-0.2810
0 	0.0 	0.0 	0.0 	1.00000E-02 	3.35809E07 	0.0000 	0.0134 	-0.2589
0 	0.0 	0.0 	0.0 	1.30000E-02 	3.29344E07 	0.0000 	0.0088 	-0.2387
0 	0.0 	0.0 	0.0 	1.65000E-02 	3.10412E07 	0.0000 	0.0061 	-0.2249
0 	0.0 	0.0 	0.0 	2.10000E-02 	2.92736E07 	0.0000 	0.0043 	-0.2116
0 	0.0 	0.0 	0.0 	2.70000E-02 	2.73180E07 	0.0000 	0.0029 	-0.1991
0 	0.0 	0.0 	0.0 	3.50000E-02 	2.47464E07 	0.0000 	0.0020 	-0.1888
0 	0.0 	0.0 	0.0 	4.55000E-02 	2.17121E07 	0.0000 	0.0014 	-0.1807
0 	0.0 	0.0 	0.0 	5.90000E-02 	1.83788E07 	0.0000 	0.0010 	-0.1751
0 	0.0 	0.0 	0.0 	7.65000E-02 	1.48031E07 	0.0000 	0.0008 	-0.1726
0 	0.0 	0.0 	0.0 	1.00000E-01 	1.10792E07 	0.0000 	0.0006 	-0.1739
0 	0.0 	0.0 	0.0 	1.32000E-01 	7.47585E06 	0.0000 	0.0005 	-0.1807
0 	0.0 	0.0 	0.0 	1.75500E-01 	4.38609E06 	0.0000 	0.0004 	-0.1963
0 	0.0 	0.0 	0.0 	2.34000E-01 	2.14782E06 	0.0000 	0.0004 	-0.2263
0 	0.0 	0.0 	0.0 	3.13000E-01 	8.24365E05 	0.0000 	0.0005 	-0.2826
0 	0.0 	0.0 	0.0 	4.20500E-01 	2.26560E05 	0.0000 	0.0007 	-0.3939
0 	0.0 	0.0 	0.0 	5.66500E-01 	3.98791E04 	0.0000 	0.0014 	-0.6365
0 	0.0 	0.0 	0.0 	7.64500E-01 	3.89049E03 	0.0000 	0.0041 	-1.2511
0 	0.0 	0.0 	0.0 	1.03300E00 	1.38046E02 	0.0000 	0.0230 	-3.4439
1 	0.0 	1.0 	0.0 	7.50000E-03 	3.54000E07 	1.0000 	0.0209 	-0.2799
1 	0.0 	1.0 	0.0 	1.00000E-02 	3.38973E07 	1.0000 	0.0133 	-0.2580
1 	0.0 	1.0 	0.0 	1.30000E-02 	3.32041E07 	1.0000 	0.0087 	-0.2381
1 	0.0 	1.0 	0.0 	1.65000E-02 	3.13011E07 	1.0000 	0.0061 	-0.2243
1 	0.0 	1.0 	0.0 	2.10000E-02 	2.95161E07 	1.0000 	0.0042 	-0.2110
1 	0.0 	1.0 	0.0 	2.70000E-02 	2.75469E07 	1.0000 	0.0029 	-0.1986
1 	0.0 	1.0 	0.0 	3.50000E-02 	2.49552E07 	1.0000 	0.0020 	-0.1882
1 	0.0 	1.0 	0.0 	4.55000E-02 	2.18963E07 	1.0000 	0.0014 	-0.1801
